time,acceleration
0.0,-0.016
0.01,-0.594
0.02,0.058
0.03,0.694
0.04,0.61
0.05,-0.249
0.06,-0.25
0.07,0.447
0.08,1.257
0.09,0.575
0.1,-0.339
0.11,-0.16
0.12,0.663
0.13,1.756
0.14,0.728
0.15,-0.335
0.16,0.251
0.17,0.82
0.18,0.487
0.19,-0.127
0.2,-0.458
0.21,1.118
0.22,1.605
0.23,1.638
0.24,0.886
0.25,0.844
0.26,1.604
0.27,1.317
0.28,1.653
0.29,1.581
0.3,1.751
0.31,2.004
0.32,1.521
0.33,1.012
0.34,0.549
0.35,0.72
0.36,1.722
0.37,0.834
0.38,0.128
0.39,0.345
0.4,0.823
0.41,0.956
0.42,0.313
0.43,-0.45
0.44,0.22
0.45,1.107
0.46,0.476
0.47,-0.507
0.48,-0.78
0.49,-0.007
0.5,0.796
0.51,0.113
0.52,-0.701
0.53,0.512
0.54,1.22
0.55,0.987
0.56,-0.044
0.57,-0.696
0.58,-0.097
0.59,0.667
0.6,0.272
0.61,-0.186
0.62,-0.02
0.63,0.265
0.64,0.589
0.65,0.154
0.66,-0.48
0.67,-0.079
0.68,1.057
0.69,0.717
0.7,0.317
0.71,-0.115
0.72,1.184
0.73,1.578
0.74,1.115
0.75,0.476
0.76,0.456
0.77,1.249
0.78,1.117
0.79,0.455
0.8,-0.348
0.81,0.209
0.82,1.252
0.83,1.028
0.84,0.199
0.85,-0.444
0.86,0.063
0.87,0.895
0.88,0.06
0.89,-0.928
0.9,-0.311
0.91,0.571
0.92,0.763
0.93,-0.115
0.94,-0.766
0.96,-0.113
0.97,0.815
0.98,0.398
0.99,-0.355
1.0,-0.589
1.01,-0.236
1.02,0.362
1.03,0.757
1.04,0.033
1.05,0.512
1.06,1.018
1.07,0.785
1.08,0.169
1.09,-0.509
1.1,-0.157
1.11,0.387
1.12,0.175
1.13,0.049
1.14,0.165
1.15,0.338
1.16,0.502
1.17,0.565
1.18,-0.298
1.19,0.015
1.2,0.767
1.21,1.32
1.22,0.458
1.23,-0.174
1.24,0.348
1.25,1.341
1.26,0.654
1.27,-0.252
1.28,-0.071
1.29,0.509
1.3,0.706
1.31,-0.186
1.32,-1.055
1.33,-0.338
1.34,0.872
1.35,0.846
1.36,-0.028
1.37,-0.467
1.38,-0.148
1.39,0.522
1.4,-0.113
1.41,-0.854
1.42,-0.276
1.43,0.357
1.44,0.504
1.45,0.053
1.46,-0.473
1.47,-0.04
1.48,0.441
1.49,0.167
1.5,0.578
1.51,0.323
1.52,0.301
1.53,0.562
1.54,0.402
1.55,-0.18
1.56,0.22
1.57,1.487
1.58,1.275
1.59,0.576
1.6,-0.386
1.61,-0.055
1.62,0.855
1.63,0.961
1.64,0.314
1.65,0.303
1.66,0.926
1.67,1.238
1.68,0.426
1.69,-0.765
1.7,-0.363
1.71,0.69
1.72,0.654
1.73,-0.075
1.74,-0.682
1.75,-0.113
1.76,0.929
1.77,0.442
1.78,-0.495
1.79,-0.229
1.8,0.19
1.81,0.369
1.82,-0.137
1.83,0.01
1.84,1.037
1.85,2.059
1.86,1.648
1.87,1.171
1.88,0.73
1.89,0.562
1.9,0.786
1.91,0.348
1.92,-0.279
1.93,-0.023
1.94,0.515
1.95,0.683
1.96,0.36
1.97,0.086
1.98,0.246
1.99,0.946
2.0,0.514
2.01,-0.224
2.02,-0.478
2.03,-0.006
2.04,0.818
2.05,0.334
2.06,-0.623
2.07,-0.154
2.08,0.756
2.09,0.82
2.1,-0.042
2.11,-0.937
2.12,-0.497
2.13,0.705
2.14,0.357
2.15,-0.492
2.16,-0.279
2.17,0.364
2.18,0.841
2.19,0.218
2.2,-0.738
2.21,-0.423
2.22,1.157
2.23,0.85
2.24,0.48
2.25,0.144
2.26,0.354
2.27,0.931
2.28,0.58
2.29,-0.056
2.3,0.047
2.31,0.119
2.32,0.286
2.33,0.003
2.34,-0.511
2.35,-0.163
2.36,0.572
2.37,0.491
2.38,0.018
2.39,-0.284
2.4,-0.116
2.41,0.552
2.42,0.105
2.43,-0.887
2.44,-0.631
