time,acceleration
0.0,0.011
0.01,0.01
0.02,-0.012
0.03,0.009
0.04,0.003
0.05,-0.027
0.06,-0.009
0.07,0.016
0.08,0.016
0.09,0.017
0.1,0.011
0.11,-0.014
0.12,-0.019
0.13,0.007
0.14,0.015
0.15,0.005
0.16,0.014
0.17,-0.021
0.18,-0.009
0.19,0.023
0.2,0.01
0.21,0.005
0.22,0.009
0.23,-0.003
0.24,-0.028
0.25,-0.002
0.26,0.002
0.27,0.02
0.28,-0.005
0.29,-0.005
0.3,-0.033
0.31,-0.004
0.32,0.007
0.33,0.012
0.34,0.003
0.35,0.008
0.36,-0.028
0.37,-0.007
0.38,0.015
0.39,0.023
0.4,0.011
0.41,0.008
0.42,-0.005
0.43,-0.012
0.44,0.016
0.45,0.038
0.46,0.03
0.47,0.015
0.48,-0.015
0.49,-0.026
0.5,-0.002
0.51,0.032
0.52,0.043
0.53,0.011
0.54,-0.01
0.56,-0.044
0.57,-0.03
0.58,0.028
0.59,0.032
0.6,-0.005
0.61,-0.004
0.62,-0.046
0.63,-0.039
0.64,0.017
0.65,0.056
0.66,0.023
0.67,-0.008
0.68,-0.028
0.69,-0.059
0.7,0.004
0.71,0.024
0.72,0.026
0.73,0.002
0.74,-0.011
0.75,-0.059
0.76,-0.02
0.77,0.026
0.78,0.032
0.79,0.008
0.8,0.013
0.81,-0.041
0.82,-0.027
0.83,0.001
0.84,0.029
0.85,0.02
0.86,0.015
0.87,-0.023
0.88,-0.035
0.89,0.013
0.9,0.046
0.91,0.053
0.92,0.014
0.93,-0.017
0.94,-0.048
0.95,-0.009
0.96,0.029
0.97,0.044
0.98,0.008
0.99,-0.001
1.0,-0.049
1.01,-0.029
1.02,0.009
1.03,0.036
1.04,0.006
1.05,0.006
1.06,-0.035
1.07,-0.049
1.08,0.017
1.09,0.035
1.1,0.012
1.11,0.001
1.12,-0.016
1.13,-0.034
1.14,0.006
1.15,0.028
1.16,0.027
1.17,0.02
1.18,-0.002
1.19,-0.047
1.2,-0.023
1.21,0.033
1.22,0.05
1.23,0.013
1.24,0.001
1.25,-0.036
1.26,-0.033
1.27,0.001
1.28,0.033
1.29,0.015
1.3,0.003
1.31,-0.026
1.32,-0.03
1.33,-0.002
1.34,0.031
1.35,0.025
1.36,0.002
1.37,-0.018
1.38,-0.038
1.39,-0.024
1.4,0.007
1.41,0.023
1.42,-0.012
1.43,0.018
1.44,-0.035
1.45,-0.04
1.46,0.019
1.47,0.028
1.48,0.013
1.49,0.004
1.5,-0.03
1.51,-0.02
1.52,0.002
1.53,0.014
1.54,0.014
1.55,0.002
1.56,-0.001
1.57,-0.012
1.58,0.008
1.59,0.012
1.6,0.022
1.61,0.01
1.62,-0.013
1.63,-0.043
1.65,-0.027
1.66,0.009
1.67,0.016
1.68,0.007
1.69,0.007
1.7,-0.02
1.71,-0.018
1.72,-0.005
1.73,0.005
1.74,0.008
1.75,-0.0
1.76,-0.004
1.77,-0.01
1.78,-0.005
1.79,0.01
1.8,0.002
1.81,-0.006
1.82,-0.007
1.83,-0.026
1.84,-0.018
1.85,-0.0
1.86,0.002
1.87,-0.005
1.88,-0.003
