time,acceleration
0.0,-0.007
0.01,-0.004
0.02,-0.007
0.03,0.006
0.04,0.017
0.05,0.013
0.06,-0.007
0.07,0.006
0.08,0.004
0.09,-0.009
0.1,0.004
0.11,-0.006
0.12,0.018
0.13,0.0
0.14,-0.004
0.15,0.006
0.16,-0.0
0.17,-0.0
0.18,-0.001
0.19,0.002
0.2,-0.007
0.21,0.0
0.22,-0.018
0.23,0.013
0.24,0.011
0.25,0.013
0.26,-0.002
0.27,0.002
0.28,-0.001
0.29,-0.005
0.3,0.002
0.31,-0.003
0.32,-0.002
0.33,0.011
0.34,0.0
0.35,0.005
0.36,-0.009
0.37,-0.001
0.38,-0.005
0.39,0.011
0.4,0.017
0.41,0.024
0.42,0.016
0.43,0.017
0.44,0.01
0.45,0.003
0.46,0.016
0.47,0.016
0.48,0.007
0.49,0.01
0.5,-0.012
0.51,0.008
0.52,-0.005
0.53,-0.004
0.54,0.006
0.55,0.009
0.56,-0.004
0.57,-0.001
0.58,0.003
0.59,0.001
0.6,-0.005
0.61,0.005
0.62,0.002
0.63,0.008
0.64,0.003
0.65,0.009
0.66,0.001
0.67,0.003
0.68,0.015
0.69,0.007
0.7,0.015
0.71,-0.008
0.72,-0.007
0.73,-0.003
0.74,0.002
0.75,-0.008
0.77,-0.002
0.78,-0.005
0.79,0.001
0.8,-0.009
0.81,0.003
0.82,0.006
0.83,-0.0
0.84,0.013
0.85,0.007
0.86,-0.005
0.87,-0.003
0.88,-0.008
0.89,0.011
0.9,0.006
0.91,0.001
0.92,-0.01
0.93,0.013
0.94,0.001
0.95,0.008
0.96,-0.001
0.97,0.008
0.98,0.0
0.99,-0.001
1.0,0.009
1.01,0.01
1.02,-0.012
1.03,0.001
1.04,0.005
1.05,0.003
1.06,-0.011
1.07,-0.003
1.08,-0.003
1.09,0.004
1.1,0.009
1.11,-0.009
1.12,0.01
1.13,-0.001
1.14,0.016
1.15,-0.005
1.16,0.008
1.17,0.004
1.18,-0.008
1.19,-0.001
1.2,0.006
1.21,0.0
1.22,-0.001
1.23,0.001
1.24,0.003
1.25,0.007
1.26,-0.007
1.27,0.007
1.28,0.01
1.29,0.009
1.3,-0.004
1.31,-0.003
1.32,-0.002
1.33,0.002
1.34,0.004
1.35,0.011
1.36,0.01
1.37,-0.011
1.38,0.007
1.39,0.003
1.4,0.001
1.41,0.008
1.42,-0.004
1.43,0.009
1.44,-0.007
1.45,0.01
1.46,-0.021
1.47,0.01
1.48,0.003
1.49,0.014
1.5,0.013
1.51,-0.019
1.52,0.005
1.53,-0.002
1.54,-0.016
1.55,-0.002
1.56,-0.002
1.57,0.002
1.58,0.004
1.59,0.003
1.6,0.003
1.61,0.003
1.62,0.009
1.63,-0.004
1.64,0.003
1.65,0.013
1.66,-0.004
1.67,0.003
1.68,-0.008
1.69,0.002
1.7,-0.0
1.71,0.002
1.72,-0.0
1.73,0.008
1.74,-0.001
1.75,-0.004
1.76,-0.013
1.77,-0.006
1.78,0.005
1.79,0.002
1.8,0.001
1.81,-0.017
1.82,-0.013
1.83,-0.004
1.84,-0.004
1.85,-0.006
1.86,-0.003
1.87,0.006
1.88,-0.001
1.89,-0.009
1.9,0.004
