time,acceleration
0.0,-0.016
0.01,0.006
0.02,0.022
0.03,0.007
0.04,0.043
0.05,0.02
0.06,-0.034
0.07,-0.047
0.08,-0.026
0.09,-0.008
0.1,-0.004
0.11,0.038
0.12,0.025
0.13,0.025
0.14,0.03
0.15,0.007
0.16,-0.023
0.17,-0.044
0.18,-0.025
0.19,0.011
0.2,0.034
0.21,0.016
0.22,0.043
0.23,0.003
0.24,0.046
0.25,-0.001
0.26,-0.026
0.27,-0.036
0.28,-0.031
0.29,-0.014
0.3,0.009
0.31,0.012
0.32,0.045
0.33,0.053
0.34,0.029
0.35,-0.014
0.36,-0.051
0.37,-0.052
0.38,-0.035
0.39,-0.036
0.4,-0.016
0.41,0.034
0.42,0.043
0.43,0.037
0.44,0.066
0.45,-0.007
0.46,-0.072
0.47,-0.086
0.48,-0.045
0.49,-0.026
0.5,0.022
0.51,0.024
0.52,0.023
0.53,0.052
0.54,0.037
0.55,-0.055
0.56,-0.092
0.57,-0.069
0.58,-0.035
0.59,0.007
0.6,0.044
0.61,0.037
0.62,0.039
0.63,0.061
0.64,0.053
0.65,-0.014
0.66,-0.081
0.67,-0.048
0.68,-0.037
0.7,-0.003
0.71,0.032
0.72,0.068
0.73,0.063
0.74,0.067
0.75,0.07
0.76,-0.024
0.77,-0.083
0.78,-0.091
0.79,-0.016
0.8,0.013
0.81,0.049
0.82,0.055
0.83,0.053
0.84,0.068
0.85,0.037
0.86,-0.044
0.87,-0.087
0.88,-0.066
0.89,-0.046
0.9,0.007
0.91,0.041
0.92,0.048
0.93,0.061
0.94,0.058
0.95,0.038
0.96,-0.059
0.97,-0.098
0.98,-0.068
0.99,-0.042
1.0,-0.02
1.01,0.046
1.02,0.041
1.03,0.032
1.04,0.042
1.05,0.021
1.06,-0.046
1.07,-0.084
1.08,-0.046
1.09,-0.019
1.1,-0.018
1.11,0.028
1.12,0.049
1.13,0.055
1.14,0.054
1.15,-0.005
1.16,-0.057
1.17,-0.083
1.18,-0.037
1.19,-0.028
1.2,0.017
1.21,0.023
1.22,0.033
1.23,0.062
1.24,0.052
1.25,0.024
1.26,-0.043
1.27,-0.039
1.28,-0.024
1.29,-0.017
1.3,0.009
1.31,0.047
1.32,0.049
1.33,0.042
1.34,0.042
1.35,0.017
1.36,-0.051
1.37,-0.043
1.38,-0.006
1.39,0.008
1.4,0.018
1.41,0.028
1.42,0.047
1.43,0.049
1.44,0.031
1.45,-0.001
1.46,-0.039
1.47,-0.024
1.48,-0.038
1.49,0.011
1.5,0.022
1.51,0.019
1.52,0.011
1.53,0.019
1.54,0.012
1.55,-0.006
1.56,-0.04
1.57,-0.027
1.58,0.005
1.59,-0.014
1.6,0.012
1.61,0.019
1.62,0.023
1.63,0.033
1.64,0.002
