time,acceleration
0.0,0.011
0.01,-0.009
0.02,-0.005
0.03,-0.006
0.04,0.003
0.05,0.013
0.06,-0.023
0.07,0.011
0.08,0.006
0.09,0.003
0.1,0.024
0.11,0.009
0.12,0.01
0.13,0.012
0.14,-0.001
0.15,0.0
0.16,-0.001
0.17,-0.004
0.18,0.001
0.19,-0.004
0.2,-0.001
0.21,0.0
0.22,-0.006
0.23,-0.003
0.24,-0.001
0.25,-0.007
0.26,0.014
0.27,0.004
0.28,0.003
0.29,-0.001
0.3,-0.008
0.31,0.013
0.32,-0.008
0.33,0.007
0.34,-0.006
0.35,0.009
0.36,0.011
0.37,0.006
0.38,0.003
0.39,-0.002
0.4,0.003
0.41,-0.014
0.42,-0.014
0.43,0.002
0.44,0.0
0.45,0.006
0.46,0.004
0.47,0.013
0.48,0.013
0.49,0.01
0.5,0.009
0.51,0.001
0.52,0.004
0.53,-0.001
0.54,0.012
0.55,-0.006
0.56,-0.001
0.57,0.014
0.58,0.001
0.59,0.001
0.6,0.001
0.62,0.026
0.63,0.016
0.64,0.002
0.65,0.005
0.66,0.018
0.67,0.009
0.68,0.016
0.69,0.018
0.7,-0.002
0.71,0.015
0.72,0.022
0.73,-0.01
0.74,0.008
0.75,0.001
0.76,0.001
0.77,-0.0
0.78,0.021
0.79,0.001
0.8,0.01
0.81,0.007
0.82,0.006
0.83,0.003
0.84,-0.01
0.85,0.007
0.86,0.006
0.87,-0.008
0.88,0.006
0.89,-0.011
0.9,0.001
0.91,0.011
0.92,0.016
0.93,-0.004
0.94,-0.007
0.95,-0.007
0.96,0.017
0.97,0.006
0.98,-0.008
0.99,0.01
1.0,0.003
1.01,0.002
1.02,0.0
1.03,-0.011
1.04,0.001
1.05,0.004
1.06,0.011
1.07,0.001
1.08,0.002
1.09,0.009
1.1,0.002
1.11,0.002
1.12,-0.001
1.13,0.009
1.14,-0.002
1.15,0.008
1.16,0.009
1.17,-0.008
1.18,0.008
1.19,0.001
1.2,-0.002
1.21,0.009
1.22,0.004
1.23,0.016
1.24,0.007
1.25,0.004
1.26,0.008
1.27,-0.002
1.28,0.002
1.29,-0.001
1.3,0.019
1.31,0.011
1.32,-0.005
1.33,0.016
1.34,0.006
1.35,0.001
1.36,-0.001
1.37,0.005
1.38,-0.0
1.39,0.009
1.4,0.017
1.41,0.007
1.42,-0.006
1.43,-0.004
1.44,0.004
1.45,0.012
1.46,0.003
1.47,-0.007
1.48,-0.006
1.49,-0.012
1.5,0.002
1.51,0.009
1.52,-0.002
1.53,0.007
1.54,0.008
1.55,0.009
1.56,-0.0
1.57,-0.002
1.58,0.013
1.59,0.0
1.6,0.014
1.61,-0.001
1.62,0.002
1.63,0.004
1.64,-0.004
1.65,-0.002
1.66,-0.008
1.67,0.003
1.68,0.022
1.69,0.014
1.7,0.011
1.71,0.012
1.72,0.004
1.73,0.015
1.74,0.013
1.75,-0.003
1.76,-0.001
1.77,0.002
1.78,0.017
1.79,-0.003
1.8,0.004
1.81,-0.002
1.82,-0.003
1.83,0.001
1.85,-0.006
1.86,0.014
1.87,0.001
1.88,-0.008
1.89,0.004
1.9,0.006
1.91,0.013
1.92,0.011
1.93,0.003
1.94,0.003
1.95,0.002
1.96,0.0
1.97,-0.008
1.98,-0.007
1.99,0.001
2.0,0.001
2.01,-0.001
2.02,0.003
2.03,0.008
2.04,-0.004
2.05,-0.001
2.06,-0.015
2.07,-0.004
2.08,0.013
2.09,-0.002
2.1,-0.001
2.11,-0.004
2.12,-0.009
2.13,0.014
2.14,-0.015
2.15,0.004
2.16,-0.0
2.17,-0.003
2.18,-0.009
2.19,-0.008
2.2,0.005
2.21,-0.002
2.22,-0.003
