time,acceleration
0.0,-0.041
0.01,-0.085
0.02,-0.137
0.03,-0.419
0.04,-0.295
0.05,-0.855
0.06,-0.921
0.07,-0.428
0.08,0.434
0.09,0.609
0.1,1.234
0.11,1.258
0.12,1.182
0.13,1.584
0.14,1.271
0.15,0.729
0.16,0.729
0.17,0.21
0.18,0.174
0.19,0.236
0.2,-0.026
0.21,-0.609
0.22,-0.275
0.23,0.3
0.24,0.029
0.25,0.248
0.26,1.056
0.27,0.643
0.28,1.497
0.29,1.704
0.3,1.268
0.31,1.24
0.32,1.511
0.33,0.997
0.34,0.709
0.35,0.731
0.36,0.049
0.37,-0.331
0.38,-0.126
0.39,-0.546
0.4,-0.796
0.41,-0.267
0.42,-0.262
0.43,-0.322
0.44,1.275
0.45,1.236
0.46,0.918
0.47,1.391
0.48,1.596
0.49,1.19
0.5,1.394
0.51,1.212
0.52,0.398
0.53,0.247
0.54,0.022
0.55,-0.946
0.56,-1.138
0.57,-0.875
0.58,-1.135
0.59,-0.862
0.6,-0.204
0.61,-0.31
0.62,0.588
0.63,1.11
0.64,0.861
0.65,1.278
0.66,1.326
0.67,1.007
0.68,0.558
0.7,1.486
0.71,1.105
0.72,1.395
0.73,1.288
0.74,0.905
0.75,0.23
0.76,0.092
0.77,0.409
0.78,-0.114
0.79,0.34
0.8,0.719
0.81,0.577
0.82,0.991
0.83,1.471
0.84,1.25
0.85,1.303
0.86,1.363
0.87,0.699
0.88,0.397
0.89,0.444
0.9,-0.148
0.91,-0.545
0.92,-0.397
0.93,-0.74
0.94,-0.13
0.95,0.194
0.96,-0.072
0.97,-0.247
0.98,0.46
0.99,0.705
1.0,1.177
1.01,1.667
1.02,1.61
1.03,1.035
1.04,1.122
1.05,0.956
1.06,0.114
1.07,-0.033
1.08,0.483
1.09,-0.12
1.1,-0.208
1.11,0.07
1.12,-0.354
1.13,-0.321
1.14,0.848
1.15,0.357
1.16,0.868
1.17,1.187
1.18,1.05
1.19,1.628
1.2,2.011
1.21,2.497
1.22,1.858
1.23,1.864
1.24,1.241
1.25,0.329
1.26,0.023
1.27,-0.375
1.28,-1.002
1.29,-0.815
1.3,-0.626
1.31,0.086
1.32,0.451
1.33,0.865
1.34,0.71
1.35,1.055
1.36,1.33
1.37,1.008
1.38,1.122
1.39,1.738
1.4,1.109
1.41,0.775
1.42,0.88
1.43,0.301
1.44,0.564
1.45,0.614
1.46,0.12
1.47,-0.15
1.48,0.205
1.49,0.206
1.5,0.029
1.51,0.521
1.52,0.588
1.53,0.38
1.54,0.809
1.55,0.885
1.56,0.412
1.57,0.639
1.58,0.717
1.59,0.03
1.6,-0.0
1.61,-0.071
1.62,-0.793
1.63,-0.913
1.64,-0.838
